yaxcatd (C:\Program Files\Tableau\Tableau 2021.1\bin\yaxcat\yaxcatd.exe) built at dc7ad89 listening on 127.0.0.1:55279 with 8 worker threads.
2021-04-27T16:03:50+0530 2.250ms; RemoteEnsemble(16 models, 2 columns)::logpdf_given_values: 240x1 targets, 1x0 givens
2021-04-27T16:03:50+0530 18.928ms; RemoteEnsemble(16 models, 2 columns)::logpdf_given_values: 240x1 targets, 240x1 givens
2021-04-27T16:03:50+0530 0.117ms; [no ensemble]::delete_data: dt_J7DAIF2SLLBUYWVKSBM5MTRC, deleted = yes
2021-04-27T16:03:50+0530 0.738ms; RemoteEnsemble(16 models, 2 columns)::upload_data: 127x2, dt_IK4BEKKL3O5HNV65A2NWOQEM
2021-04-27T16:03:50+0530 1.937ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x0
2021-04-27T16:03:50+0530 0.074ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x0
2021-04-27T16:03:50+0530 3.267ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x1
2021-04-27T16:03:50+0530 0.068ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x1
2021-04-27T16:03:50+0530 0.072ms; [no ensemble]::delete_data: dt_IK4BEKKL3O5HNV65A2NWOQEM, deleted = yes
2021-04-27T16:03:50+0530 0.929ms; RemoteEnsemble(16 models, 2 columns)::upload_data: 795x2, dt_XKPTUQAWJD35SY5SSEJXG72I
2021-04-27T16:03:50+0530 0.615ms; RemoteEnsemble(16 models, 2 columns)::logpdf_given_values: 32x1 targets, 1x0 givens
2021-04-27T16:03:50+0530 21.567ms; RemoteEnsemble(16 models, 2 columns)::logpdf_given_values: 32x1 targets, 32x1 givens
2021-04-27T16:03:50+0530 0.065ms; [no ensemble]::delete_data: dt_XKPTUQAWJD35SY5SSEJXG72I, deleted = yes
2021-04-27T16:03:50+0530 0.855ms; RemoteEnsemble(16 models, 2 columns)::upload_data: 127x2, dt_3672OJ4HACGKO4THM6QDX4JM
2021-04-27T16:03:50+0530 1.458ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x0
